TABLE 4A - Species         ,Grade                        ,Size           ,Bending Fb ,Tension Ft ,Shear Fv ,Comp Fcp ,Comp Fc ,Modulus E ,Emin   ,SG   ,Agency
RED OAK                    ,Utility                      ,               ,       250 ,       150 ,     170 ,     820 ,    425 ,  1000000 ,370000 ,     ,NELMA
REDWOOD                    ,Clear Structural             ,               ,      1750 ,      1000 ,     160 ,     650 ,   1850 ,  1400000 ,510000 ,     ,RIS
REDWOOD                    ,Select Structural            ,               ,      1350 ,       800 ,     160 ,     650 ,   1500 ,  1400000 ,510000 ,     ,RIS
REDWOOD                    ,Select Structural open grain ,1100           ,       625 ,       160 ,     425 ,    1100 ,1100000 ,   400000 ,       ,     ,RIS
REDWOOD                    ,No.1                         ,               ,       975 ,       575 ,     160 ,     650 ,   1200 ,  1300000 ,470000 ,     ,RIS
REDWOOD                    ,No.1 open grain              ,"2"" & Wider"  ,       775 ,       450 ,     160 ,     425 ,    900 ,  1100000 ,400000 ,     ,RIS
REDWOOD                    ,No.2                         ,925            ,       525 ,       160 ,     650 ,     950 ,1200000 ,   440000 ,       ,     ,RIS
REDWOOD                    ,No.2 open grain              ,               ,       725 ,       425 ,     160 ,     425 ,    700 ,  1000000 ,370000 ,     ,RIS
REDWOOD                    ,No.3                         ,               ,       525 ,       300 ,     160 ,     650 ,    550 ,  1100000 ,400000 ,     ,RIS
REDWOOD                    ,No.3 open grain              ,425            ,       250 ,       160 ,     425 ,     400 , 900000 ,   330000 ,       ,     ,RIS
REDWOOD                    ,Stud                         ,"2"" & Wider"  ,       575 ,       325 ,     160 ,     425 ,    450 ,   900000 ,330000 ,     ,RIS
REDWOOD                    ,Construction                 ,               ,       825 ,       475 ,     160 ,     425 ,    925 ,   900000 ,330000 ,     ,RIS
REDWOOD                    ,Standard                     ,"2""-4"" Wide" ,       450 ,       275 ,     160 ,     425 ,    725 ,   900000 ,330000 ,     ,RIS
REDWOOD                    ,Utility                      ,               ,       225 ,       125 ,     160 ,     425 ,    475 ,   800000 ,290000 ,     ,RIS
SPRUCE-PINE-FIR            ,Select Structural            ,               ,      1250 ,       700 ,     135 ,     425 ,   1400 ,  1500000 ,550000 ,     ,NLGA
SPRUCE-PINE-FIR            ,No.1/No.2                    ,"2"" & Wider"  ,       875 ,       450 ,     135 ,     425 ,   1150 ,  1400000 ,510000 ,     ,NLGA
SPRUCE-PINE-FIR            ,No.3                         ,               ,       500 ,       250 ,     135 ,     425 ,    650 ,  1200000 ,440000 ,     ,NLGA
SPRUCE-PINE-FIR            ,Stud                         ,"2"" & Wider"  ,       675 ,       350 ,     135 ,     425 ,    725 ,  1200000 ,440000 ,     ,NLGA
SPRUCE-PINE-FIR            ,Construction                 ,               ,      1000 ,       500 ,     135 ,     425 ,   1400 ,  1300000 ,470000 ,     ,NLGA
SPRUCE-PINE-FIR            ,Standard                     ,"2""-4"" Wide" ,       550 ,       275 ,     135 ,     425 ,   1150 ,  1200000 ,440000 ,     ,NLGA
SPRUCE-PINE-FIR            ,Utility                      ,               ,       275 ,       125 ,     135 ,     425 ,    750 ,  1100000 ,400000 ,     ,NLGA
SPRUCE-PINE-FIR (SOUTH)    ,Select Structural            ,               ,      1300 ,       575 ,     135 ,     335 ,   1200 ,  1300000 ,470000 ,     ,NELMA;NSLB;WCLIB;WWPA
SPRUCE-PINE-FIR (SOUTH)    ,No.1                         ,               ,       875 ,       400 ,     135 ,     335 ,   1050 ,  1200000 ,440000 ,     ,NELMA;NSLB;WCLIB;WWPA
SPRUCE-PINE-FIR (SOUTH)    ,No.2                         ,"2"" & Wider"  ,       775 ,       350 ,     135 ,     335 ,   1000 ,  1100000 ,400000 ,     ,NELMA;NSLB;WCLIB;WWPA
SPRUCE-PINE-FIR (SOUTH)    ,No.3                         ,               ,       450 ,       200 ,     135 ,     335 ,    575 ,  1000000 ,370000 ,     ,NELMA;NSLB;WCLIB;WWPA
SPRUCE-PINE-FIR (SOUTH)    ,Stud                         ,"2"" & Wider"  ,       600 ,       275 ,     135 ,     335 ,    625 ,  1000000 ,370000 ,     ,NELMA;NSLB;WCLIB;WWPA
SPRUCE-PINE-FIR (SOUTH)    ,Construction                 ,               ,       875 ,       400 ,     135 ,     335 ,   1200 ,  1000000 ,370000 ,     ,NELMA;NSLB;WCLIB;WWPA
SPRUCE-PINE-FIR (SOUTH)    ,Standard                     ,"2""-4"" Wide" ,       500 ,       225 ,     135 ,     335 ,   1000 ,   900000 ,330000 ,     ,NELMA;NSLB;WCLIB;WWPA
SPRUCE-PINE-FIR (SOUTH)    ,Utility                      ,               ,       225 ,       100 ,     135 ,     335 ,    675 ,   900000 ,330000 ,     ,NELMA;NSLB;WCLIB;WWPA
WESTERN CEDARS             ,Select Structural            ,               ,      1000 ,       600 ,     155 ,     425 ,   1000 ,  1100000 ,400000 ,     ,WCLIB; WWPA
WESTERN CEDARS             ,No.1                         ,               ,       725 ,       425 ,     155 ,     425 ,    825 ,  1000000 ,370000 ,     ,WCLIB; WWPA
WESTERN CEDARS             ,No.2                         ,"2"" & Wider"  ,       700 ,       425 ,     155 ,     425 ,    650 ,  1000000 ,370000 ,     ,WCLIB; WWPA
WESTERN CEDARS             ,No.3                         ,               ,       400 ,       250 ,     155 ,     425 ,    375 ,   900000 ,330000 ,     ,WCLIB; WWPA
WESTERN CEDARS             ,Stud                         ,"2"" & Wider"  ,       550 ,       325 ,     155 ,     425 ,    400 ,   900000 ,330000 ,     ,WCLIB;WWPA
WESTERN CEDARS             ,Construction                 ,               ,       800 ,       475 ,     155 ,     425 ,    850 ,   900000 ,330000 ,     ,WCLIB;WWPA
WESTERN CEDARS             ,Standard                     ,"2""-4"" Wide" ,       450 ,       275 ,     155 ,     425 ,    650 ,   800000 ,290000 ,     ,WCLIB;WWPA
WESTERN CEDARS             ,Utility                      ,               ,       225 ,       125 ,     155 ,     425 ,    425 ,   800000 ,290000 ,     ,WCLIB;WWPA
WESTERN WOODS              ,Select Structural            ,               ,       900 ,       400 ,     135 ,     335 ,   1050 ,  1200000 ,440000 ,     ,WCLIB; WWPA
WESTERN WOODS              ,No.1                         ,               ,       675 ,       300 ,     135 ,     335 ,    950 ,  1100000 ,400000 ,     ,WCLIB; WWPA
WESTERN WOODS              ,No.2                         ,"2"" & Wider"  ,       675 ,       300 ,     135 ,     335 ,    900 ,  1000000 ,370000 ,     ,WCLIB; WWPA
WESTERN WOODS              ,No.3                         ,               ,       375 ,       175 ,     135 ,     335 ,    525 ,   900000 ,330000 ,     ,WCLIB; WWPA
WESTERN WOODS              ,Stud                         ,"2"" & Wider"  ,       525 ,       225 ,     135 ,     335 ,    575 ,   900000 ,330000 ,     ,WCLIB;WWPA
WESTERN WOODS              ,Construction                 ,               ,       775 ,       350 ,     135 ,     335 ,   1100 ,  1000000 ,370000 ,     ,WCLIB;WWPA
WESTERN WOODS              ,Standard                     ,"2""-4"" Wide" ,       425 ,       200 ,     135 ,     335 ,    925 ,   900000 ,330000 ,     ,WCLIB;WWPA
WESTERN WOODS              ,Utility                      ,               ,       200 ,       100 ,     135 ,     335 ,    600 ,   800000 ,290000 ,     ,WCLIB;WWPA
WHITE OAK                  ,Select Structural            ,               ,      1200 ,       700 ,     220 ,     800 ,   1100 ,  1100000 ,400000 ,     ,NELMA
WHITE OAK                  ,No.1                         ,               ,       875 ,       500 ,     220 ,     800 ,    900 ,  1000000 ,370000 ,     ,NELMA
WHITE OAK                  ,No.2                         ,"2"" & Wider"  ,       850 ,       500 ,     220 ,     800 ,    700 ,   900000 ,330000 ,     ,NELMA
WHITE OAK                  ,No.3                         ,               ,       475 ,       275 ,     220 ,     800 ,    400 ,   800000 ,290000 ,     ,NELMA
WHITE OAK                  ,Stud                         ,"2"" & Wider"  ,       650 ,       375 ,     220 ,     800 ,    450 ,   800000 ,290000 ,     ,NELMA
WHITE OAK                  ,Construction                 ,               ,       950 ,       550 ,     220 ,     800 ,    925 ,   900000 ,330000 ,     ,NELMA
WHITE OAK                  ,Standard                     ,"2""-4"" Wide" ,       525 ,       325 ,     220 ,     800 ,    725 ,   800000 ,290000 ,     ,NELMA
WHITE OAK                  ,Utility                      ,               ,       250 ,       150 ,     220 ,     800 ,    475 ,   800000 ,290000 ,     ,NELMA
YELLOW POPLAR              ,Select Structural            ,               ,      1000 ,       575 ,     145 ,     420 ,    900 ,  1500000 ,550000 ,     ,NSLB
YELLOW POPLAR              ,No.1                         ,               ,       725 ,       425 ,     145 ,     420 ,    725 ,  1400000 ,510000 ,     ,NSLB
YELLOW POPLAR              ,No.2                         ,"2"" & Wider"  ,       700 ,       400 ,     145 ,     420 ,    575 ,  1300000 ,470000 ,     ,NSLB
YELLOW POPLAR              ,No.3                         ,               ,       400 ,       225 ,     145 ,     420 ,    325 ,  1200000 ,440000 ,     ,NSLB
YELLOW POPLAR              ,Stud                         ,"2"" & Wider"  ,       550 ,       325 ,     145 ,     420 ,    350 ,  1200000 ,440000 ,     ,NSLB
YELLOW POPLAR              ,Construction                 ,               ,       800 ,       475 ,     145 ,     420 ,    750 ,  1300000 ,470000 ,     ,NSLB
YELLOW POPLAR              ,Standard                     ,"2""-4"" Wide" ,       450 ,       250 ,     145 ,     420 ,    575 ,  1100000 ,400000 ,     ,NSLB
YELLOW POPLAR              ,Utility                      ,               ,       200 ,       125 ,     145 ,     420 ,    375 ,  1100000 ,400000 ,     ,NSLB
